Date,Time,Lat,Lon,x, y, Wind,Pressure
Jul 17,21:00 GMT,11.2,-52.6,-0.91804,0.19423,40,1009,
Jul 18,00:00 GMT,11.2,-53.8,-0.93899,0.19423,45,1009,
Jul 18,03:00 GMT,11.3,-54.6,-0.95295,0.19595,45,1009,
Jul 18,06:00 GMT,11.4,-55.4,-0.96691,0.19766,45,1009,
Jul 18,09:00 GMT,11.5,-56.2,-0.98088,0.19937,50,1007,
Jul 18,12:00 GMT,11.4,-57,-0.99484,0.19766,50,1010,
Jul 18,15:00 GMT,11.5,-58,-1.0123,0.19937,40,1011,
Jul 18,18:00 GMT,11.5,-58.7,-1.0245,0.19937,40,1011,
Jul 18,21:00 GMT,11.7,-60,-1.0472,0.20279,40,1010,
Jul 19,00:00 GMT,11.9,-61.4,-1.0716,0.2062,40,1011,
Jul 19,03:00 GMT,11.9,-62.5,-1.0908,0.2062,40,1012,
