Date,Time,Lat,Lon,x, y, Wind,Pressure
Aug 6,21:00 GMT,15.6,-82,-1.4312,0.26892,35,1008,
Aug 7,00:00 GMT,16.1,-82.7,-1.4434,0.27731,35,1007,
Aug 7,03:00 GMT,16.4,-83,-1.4486,0.28234,40,1006,
Aug 7,06:00 GMT,16.8,-83.7,-1.4608,0.28903,45,1005,
Aug 7,09:00 GMT,17.1,-84.2,-1.4696,0.29404,45,1005,
Aug 7,12:00 GMT,17.3,-84.7,-1.4783,0.29737,50,1004,
Aug 7,15:00 GMT,17.7,-85.1,-1.4853,0.30403,60,999,
Aug 7,18:00 GMT,18,-85.4,-1.4905,0.30902,60,999,
Aug 7,21:00 GMT,18.6,-85.9,-1.4992,0.31896,60,998,
Aug 8,00:00 GMT,18.8,-86.5,-1.5097,0.32227,60,995,
Aug 8,03:00 GMT,19.1,-87.3,-1.5237,0.32722,60,995,
Aug 8,04:00 GMT,19.1,-87.5,-1.5272,0.32722,60,995,
Aug 8,06:00 GMT,19.1,-88,-1.5359,0.32722,60,996,
Aug 8,09:00 GMT,19.3,-88.5,-1.5446,0.33051,50,998,
Aug 8,12:00 GMT,19.5,-89.1,-1.5551,0.33381,45,999,
Aug 8,15:00 GMT,19.6,-89.6,-1.5638,0.33545,45,1001,
Aug 8,18:00 GMT,20,-89.9,-1.5691,0.34202,40,1002,
Aug 8,21:00 GMT,20.2,-90.3,-1.576,0.3453,40,1001,
Aug 9,00:00 GMT,20.3,-90.9,-1.5865,0.34694,40,999,
Aug 9,03:00 GMT,20.3,-91.3,-1.5935,0.34694,50,996,
Aug 9,06:00 GMT,20.4,-92.1,-1.6074,0.34857,60,994,
Aug 9,09:00 GMT,20.4,-92.7,-1.6179,0.34857,65,994,
Aug 9,12:00 GMT,20.2,-93.4,-1.6301,0.3453,70,987,
Aug 9,15:00 GMT,20.2,-93.9,-1.6389,0.3453,70,985,
Aug 9,18:00 GMT,20.2,-94.4,-1.6476,0.3453,70,984,
Aug 9,21:00 GMT,20.1,-94.9,-1.6563,0.34366,75,984,
Aug 10,00:00 GMT,20.2,-95.4,-1.665,0.3453,85,983,
Aug 10,03:00 GMT,20.2,-96.1,-1.6773,0.3453,85,985,
Aug 10,06:00 GMT,20,-96.7,-1.6877,0.34202,85,988,
Aug 10,09:00 GMT,19.9,-97.6,-1.7034,0.34038,70,992,
Aug 10,12:00 GMT,19.8,-98.3,-1.7157,0.33874,40,997,
Aug 10,15:00 GMT,19.7,-99.2,-1.7314,0.3371,30,1000,
