Date,Time,Lat,Lon,x, y, Wind,Pressure
Aug 17,15:00 GMT,13.1,-55.1,-0.96168,0.22665,35,1008,
Aug 17,18:00 GMT,13.1,-55.1,-0.96168,0.22665,35,1007,
Aug 17,21:00 GMT,13,-55.8,-0.97389,0.22495,40,1004,
Aug 18,00:00 GMT,12.9,-56.5,-0.98611,0.22325,40,1005,
Aug 18,03:00 GMT,13,-57.4,-1.0018,0.22495,40,1005,
Aug 18,06:00 GMT,13,-58.1,-1.014,0.22495,40,1005,
Aug 18,09:00 GMT,13.1,-59.1,-1.0315,0.22665,40,1004,
Aug 18,12:00 GMT,13,-60.3,-1.0524,0.22495,40,1005,
Aug 18,15:00 GMT,13.1,-61.3,-1.0699,0.22665,40,1005,
Aug 18,18:00 GMT,13.2,-62.1,-1.0838,0.22835,40,1005,
Aug 18,21:00 GMT,13.4,-62.9,-1.0978,0.23175,40,1005,
Aug 19,03:00 GMT,13.7,-64.1,-1.1188,0.23684,40,1005,
Aug 19,09:00 GMT,13.8,-65.9,-1.1502,0.23853,40,1005,
Aug 19,15:00 GMT,13.9,-68.1,-1.1886,0.24023,40,1007,
Aug 19,21:00 GMT,14.1,-70,-1.2217,0.24362,35,1007,
Aug 20,03:00 GMT,14.3,-71.8,-1.2531,0.247,35,1007,
Aug 23,15:00 GMT,21.5,-92.5,-1.6144,0.3665,35,1006,
Aug 23,18:00 GMT,21.5,-92.5,-1.6144,0.3665,35,1005,
Aug 23,21:00 GMT,21.6,-92.6,-1.6162,0.36812,35,1005,
Aug 24,00:00 GMT,21.7,-92.5,-1.6144,0.36975,35,1003,
Aug 24,03:00 GMT,21.9,-92.6,-1.6162,0.37299,35,1002,
Aug 24,04:00 GMT,22,-92.6,-1.6162,0.37461,40,1002,
Aug 24,06:00 GMT,22.6,-92.6,-1.6162,0.3843,45,1001,
Aug 24,09:00 GMT,23.2,-92.8,-1.6197,0.39394,45,995,
Aug 24,12:00 GMT,23.8,-93,-1.6232,0.40355,60,986,
Aug 24,15:00 GMT,24,-93.3,-1.6284,0.40674,65,982,
Aug 24,17:00 GMT,24.3,-93.5,-1.6319,0.41151,80,981,
Aug 24,18:00 GMT,24.4,-93.6,-1.6336,0.4131,85,979,
Aug 24,21:00 GMT,24.7,-93.9,-1.6389,0.41787,85,976,
Aug 25,00:00 GMT,25,-94.3,-1.6458,0.42262,85,974,
Aug 25,03:00 GMT,25.2,-94.6,-1.6511,0.42578,85,973,
Aug 25,04:00 GMT,25.4,-94.8,-1.6546,0.42894,85,971,
Aug 25,05:00 GMT,25.5,-94.9,-1.6563,0.43051,100,967,
Aug 25,06:00 GMT,25.6,-95.1,-1.6598,0.43209,105,967,
Aug 25,07:00 GMT,25.8,-95.2,-1.6616,0.43523,105,967,
Aug 25,08:00 GMT,25.8,-95.4,-1.665,0.43523,105,967,
Aug 25,09:00 GMT,25.9,-95.4,-1.665,0.4368,105,967,
Aug 25,10:00 GMT,26.1,-95.5,-1.6668,0.43994,105,958,
Aug 25,11:00 GMT,26.3,-95.7,-1.6703,0.44307,110,952,
Aug 25,12:00 GMT,26.3,-95.8,-1.672,0.44307,110,950,
Aug 25,13:00 GMT,26.4,-95.9,-1.6738,0.44464,110,950,
Aug 25,14:00 GMT,26.5,-95.9,-1.6738,0.4462,110,948,
Aug 25,15:00 GMT,26.7,-96,-1.6755,0.44932,110,947,
Aug 25,16:00 GMT,26.8,-96.2,-1.679,0.45088,110,947,
Aug 25,17:00 GMT,26.9,-96.2,-1.679,0.45243,110,947,
Aug 25,18:00 GMT,27.1,-96.3,-1.6808,0.45554,110,945,
Aug 25,19:00 GMT,27.2,-96.4,-1.6825,0.4571,120,943,
Aug 25,20:00 GMT,27.4,-96.4,-1.6825,0.4602,120,943,
Aug 25,21:00 GMT,27.5,-96.5,-1.6842,0.46175,125,941,
Aug 25,22:00 GMT,27.6,-96.6,-1.686,0.4633,125,941,
Aug 25,23:00 GMT,27.7,-96.7,-1.6877,0.46484,130,941,
Aug 26,00:00 GMT,27.8,-96.8,-1.6895,0.46639,130,941,
Aug 26,01:00 GMT,27.9,-96.8,-1.6895,0.46793,130,941,
Aug 26,02:00 GMT,27.9,-96.9,-1.6912,0.46793,130,941,
Aug 26,03:00 GMT,28,-97,-1.693,0.46947,130,938,
Aug 26,04:00 GMT,28.1,-97,-1.693,0.47101,130,938,
Aug 26,05:00 GMT,28.1,-97,-1.693,0.47101,130,940,
Aug 26,06:00 GMT,28.2,-97,-1.693,0.47255,125,942,
Aug 26,07:00 GMT,28.3,-97.1,-1.6947,0.47409,115,950,
Aug 26,08:00 GMT,28.4,-97.2,-1.6965,0.47562,110,954,
Aug 26,09:00 GMT,28.5,-97.2,-1.6965,0.47716,100,963,
Aug 26,10:00 GMT,28.5,-97.2,-1.6965,0.47716,90,967,
Aug 26,11:00 GMT,28.6,-97.2,-1.6965,0.47869,85,972,
Aug 26,12:00 GMT,28.7,-97.2,-1.6965,0.48022,80,975,
