Date,Time,Lat,Lon,x, y, Wind,Pressure
Aug 30,15:00 GMT,16.4,-30.3,-0.52883,0.28234,50,1004,
Aug 30,21:00 GMT,16.4,-31.2,-0.54454,0.28234,60,1001,
Aug 31,03:00 GMT,16.4,-32.2,-0.562,0.28234,65,999,
Aug 31,09:00 GMT,16.5,-32.9,-0.57421,0.28402,70,997,
Aug 31,15:00 GMT,16.9,-33.8,-0.58992,0.2907,100,979,
Aug 31,21:00 GMT,17.3,-34.8,-0.60737,0.29737,115,967,
Sep 1,03:00 GMT,17.8,-35.6,-0.62134,0.3057,115,967,
Sep 1,09:00 GMT,18.2,-36.5,-0.63705,0.31233,115,967,
Sep 1,15:00 GMT,18.5,-37.8,-0.65973,0.3173,110,972,
Sep 1,21:00 GMT,18.8,-39.1,-0.68242,0.32227,120,964,
Sep 2,03:00 GMT,19.1,-40.5,-0.70686,0.32722,115,967,
Sep 2,09:00 GMT,19,-41.8,-0.72955,0.32557,110,970,
Sep 2,15:00 GMT,18.8,-43.3,-0.75573,0.32227,110,973,
Sep 2,21:00 GMT,18.5,-44.6,-0.77842,0.3173,110,973,
Sep 3,03:00 GMT,18.3,-46.2,-0.80634,0.31399,110,973,
Sep 3,09:00 GMT,18,-47.5,-0.82903,0.30902,115,969,
Sep 3,15:00 GMT,17.7,-48.4,-0.84474,0.30403,115,969,
Sep 3,21:00 GMT,17.6,-49.8,-0.86917,0.30237,115,969,
Sep 4,00:00 GMT,17.4,-50.3,-0.8779,0.29904,115,959,
Sep 4,03:00 GMT,17.2,-51,-0.89012,0.29571,115,961,
Sep 4,06:00 GMT,17,-51.5,-0.89884,0.29237,115,961,
Sep 4,09:00 GMT,16.9,-52.3,-0.91281,0.2907,115,961,
Sep 4,12:00 GMT,16.8,-52.6,-0.91804,0.28903,120,947,
Sep 4,15:00 GMT,16.8,-53.3,-0.93026,0.28903,120,944,
Sep 4,18:00 GMT,16.7,-53.8,-0.93899,0.28736,120,944,
Sep 4,21:00 GMT,16.7,-54.4,-0.94946,0.28736,130,944,
Sep 5,00:00 GMT,16.7,-55,-0.95993,0.28736,140,943,
Sep 5,03:00 GMT,16.7,-55.6,-0.9704,0.28736,140,943,
Sep 5,06:00 GMT,16.6,-56.4,-0.98437,0.28569,145,939,
Sep 5,09:00 GMT,16.6,-57,-0.99484,0.28569,150,937,
Sep 5,11:45 GMT,16.7,-57.7,-1.0071,0.28736,175,929,
