Date,Time,Lat,Lon,x, y, Wind,Pressure
Sep 5,15:00 GMT,12.3,-39.1,-0.68242,0.21303,40,1008,
Sep 5,21:00 GMT,12.5,-40.6,-0.7086,0.21644,45,1006,
Sep 6,03:00 GMT,12.3,-41.7,-0.7278,0.21303,50,1004,
Sep 6,09:00 GMT,12.5,-42.8,-0.747,0.21644,60,1002,
Sep 6,15:00 GMT,13.1,-44.5,-0.77667,0.22665,70,998,
Sep 6,21:00 GMT,13.9,-45.8,-0.79936,0.24023,75,994,
Sep 7,03:00 GMT,14.4,-47.5,-0.82903,0.24869,85,989,
Sep 7,09:00 GMT,14.8,-49.1,-0.85696,0.25545,90,986,
Sep 7,15:00 GMT,14.9,-50.6,-0.88314,0.25713,90,986,
Sep 7,18:00 GMT,15.2,-51.4,-0.8971,0.26219,105,978,
Sep 7,21:00 GMT,15.5,-52.4,-0.91455,0.26724,120,966,
Sep 8,00:00 GMT,15.6,-53.2,-0.92852,0.26892,120,966,
Sep 8,00:10 GMT,15.6,-53.2,-0.92852,0.26892,120,966,
Sep 8,03:00 GMT,15.6,-53.9,-0.94073,0.26892,120,966,
Sep 8,06:00 GMT,15.8,-54.4,-0.94946,0.27228,120,966,
Sep 8,09:00 GMT,16,-55.3,-0.96517,0.27564,125,957,
Sep 8,12:00 GMT,16.1,-56.2,-0.98088,0.27731,125,957,
Sep 8,14:00 GMT,16.2,-56.9,-0.99309,0.27899,150,942,
Sep 8,15:00 GMT,16.3,-57.1,-0.99658,0.28067,150,942,
Sep 8,18:00 GMT,16.4,-57.7,-1.0071,0.28234,150,940,
Sep 8,21:00 GMT,16.6,-58.3,-1.0175,0.28569,150,940,
Sep 9,00:00 GMT,16.7,-58.8,-1.0263,0.28736,150,938,
Sep 9,03:00 GMT,16.9,-59.3,-1.035,0.2907,155,938,
Sep 9,06:00 GMT,17.2,-59.6,-1.0402,0.29571,150,940,
Sep 9,09:00 GMT,17.5,-60.3,-1.0524,0.30071,150,940,
Sep 9,12:00 GMT,17.8,-60.7,-1.0594,0.3057,145,944,
Sep 9,15:00 GMT,18.3,-61.3,-1.0699,0.31399,145,945,
Sep 9,18:00 GMT,18.8,-61.9,-1.0804,0.32227,145,945,
Sep 9,21:00 GMT,19.2,-62.4,-1.0891,0.32887,145,945,
Sep 10,00:00 GMT,19.4,-62.9,-1.0978,0.33216,145,945,
Sep 10,03:00 GMT,19.8,-63.4,-1.1065,0.33874,130,944,
Sep 10,06:00 GMT,20.4,-64,-1.117,0.34857,130,944,
Sep 10,09:00 GMT,20.8,-64.5,-1.1257,0.35511,130,944,
Sep 10,12:00 GMT,21.2,-65.3,-1.1397,0.36162,130,944,
Sep 10,15:00 GMT,21.7,-65.8,-1.1484,0.36975,130,944,
Sep 10,21:00 GMT,22.8,-66.9,-1.1676,0.38752,120,956,
Sep 11,03:00 GMT,23.7,-68.1,-1.1886,0.40195,115,962,
Sep 11,09:00 GMT,24.4,-68.6,-1.1973,0.4131,105,968,
Sep 11,15:00 GMT,25.5,-69.1,-1.206,0.43051,105,968,
Sep 11,21:00 GMT,26.4,-69.2,-1.2078,0.44464,100,973,
Sep 12,03:00 GMT,27.1,-69.5,-1.213,0.45554,85,982,
Sep 12,09:00 GMT,27.5,-69,-1.2043,0.46175,75,987,
Sep 12,15:00 GMT,27.5,-68.3,-1.1921,0.46175,75,987,
Sep 12,21:00 GMT,27.6,-67.4,-1.1764,0.4633,75,987,
Sep 13,03:00 GMT,26.5,-66.4,-1.1589,0.4462,75,985,
Sep 13,09:00 GMT,26.1,-66,-1.1519,0.43994,75,985,
Sep 13,15:00 GMT,25.5,-65.6,-1.1449,0.43051,75,985,
Sep 13,21:00 GMT,25.3,-65.6,-1.1449,0.42736,75,988,
Sep 14,03:00 GMT,25.2,-66,-1.1519,0.42578,80,985,
Sep 14,09:00 GMT,25.1,-66.5,-1.1606,0.4242,75,986,
Sep 14,15:00 GMT,24.9,-66.6,-1.1624,0.42104,70,989,
Sep 14,21:00 GMT,25.2,-67.3,-1.1746,0.42578,70,989,
Sep 15,03:00 GMT,25.5,-68,-1.1868,0.43051,70,989,
Sep 15,09:00 GMT,25.9,-68.7,-1.199,0.4368,70,989,
Sep 15,15:00 GMT,26.5,-69.4,-1.2113,0.4462,70,989,
Sep 15,21:00 GMT,27.1,-70.3,-1.227,0.45554,75,983,
Sep 16,03:00 GMT,27.4,-71,-1.2392,0.4602,80,983,
Sep 16,09:00 GMT,27.9,-71.8,-1.2531,0.46793,80,983,
Sep 16,15:00 GMT,28.8,-72.2,-1.2601,0.48175,80,982,
Sep 16,21:00 GMT,28.9,-71.9,-1.2549,0.48328,80,973,
Sep 17,03:00 GMT,29.2,-71.8,-1.2531,0.48786,80,973,
Sep 17,09:00 GMT,30,-71.7,-1.2514,0.5,80,973,
Sep 17,15:00 GMT,31,-71.9,-1.2549,0.51504,90,967,
Sep 17,21:00 GMT,31.5,-71.8,-1.2531,0.5225,90,967,
Sep 18,00:00 GMT,31.9,-71.7,-1.2514,0.52844,90,972,
Sep 18,03:00 GMT,32.2,-71.6,-1.2497,0.53288,90,972,
Sep 18,06:00 GMT,32.6,-71.6,-1.2497,0.53877,90,972,
Sep 18,09:00 GMT,33,-71.4,-1.2462,0.54464,85,974,
Sep 18,12:00 GMT,33.5,-71.2,-1.2427,0.55194,85,976,
Sep 18,15:00 GMT,33.9,-71.1,-1.2409,0.55775,75,977,
Sep 18,18:00 GMT,34.2,-71,-1.2392,0.56208,75,977,
Sep 18,21:00 GMT,34.8,-71.1,-1.2409,0.57071,75,977,
Sep 19,00:00 GMT,34.8,-71.5,-1.2479,0.57071,75,973,
Sep 19,03:00 GMT,35.2,-71.3,-1.2444,0.57643,75,975,
Sep 19,06:00 GMT,35.6,-71.3,-1.2444,0.58212,75,971,
Sep 19,09:00 GMT,36,-71.3,-1.2444,0.58779,75,971,
Sep 19,12:00 GMT,36.3,-71.6,-1.2497,0.59201,75,973,
Sep 19,15:00 GMT,36.5,-71.7,-1.2514,0.59482,75,976,
Sep 19,18:00 GMT,36.9,-71.5,-1.2479,0.60042,75,976,
Sep 19,21:00 GMT,37.2,-71.3,-1.2444,0.6046,75,976,
Sep 20,00:00 GMT,37.5,-71.2,-1.2427,0.60876,75,973,
Sep 20,03:00 GMT,37.9,-70.8,-1.2357,0.61429,70,973,
Sep 20,06:00 GMT,38.2,-70.5,-1.2305,0.61841,70,973,
Sep 20,09:00 GMT,38.4,-70.3,-1.227,0.62115,65,975,
Sep 20,12:00 GMT,38.8,-70.2,-1.2252,0.6266,65,976,
Sep 20,15:00 GMT,39,-70,-1.2217,0.62932,70,976,
Sep 20,18:00 GMT,39.2,-69.3,-1.2095,0.63203,70,976,
Sep 20,21:00 GMT,39.2,-69.1,-1.206,0.63203,70,976,
Sep 21,00:00 GMT,39.4,-68.6,-1.1973,0.63473,65,979,
Sep 21,03:00 GMT,39.5,-68.2,-1.1903,0.63608,60,982,
Sep 21,06:00 GMT,39.8,-67.8,-1.1833,0.64011,60,982,
Sep 21,09:00 GMT,39.8,-67.8,-1.1833,0.64011,60,982,
Sep 21,12:00 GMT,39.6,-68.1,-1.1886,0.63742,60,982,
Sep 21,15:00 GMT,39.6,-68.2,-1.1903,0.63742,60,984,
Sep 21,18:00 GMT,39.5,-67.9,-1.1851,0.63608,60,984,
Sep 21,21:00 GMT,39.6,-67.9,-1.1851,0.63742,50,987,
Sep 22,00:00 GMT,39.6,-68.1,-1.1886,0.63742,50,987,
Sep 22,03:00 GMT,39.5,-68.4,-1.1938,0.63608,50,987,
Sep 22,06:00 GMT,39.6,-68.5,-1.1956,0.63742,50,987,
Sep 22,09:00 GMT,39.7,-68.7,-1.199,0.63877,50,990,
Sep 22,12:00 GMT,39.7,-69,-1.2043,0.63877,50,993,
Sep 22,15:00 GMT,39.5,-69.4,-1.2113,0.63608,45,993,
Sep 22,18:00 GMT,39.3,-69.3,-1.2095,0.63338,45,995,
Sep 22,21:00 GMT,39.3,-69.1,-1.206,0.63338,45,996,
