Date,Time,Lat,Lon,x, y, Wind,Pressure
Sep 5,21:00 GMT,22.4,-96.7,-1.6877,0.38107,35,1008,
Sep 6,03:00 GMT,22.2,-96.4,-1.6825,0.37784,35,1008,
Sep 6,09:00 GMT,22.1,-96.3,-1.6808,0.37622,40,1006,
Sep 6,15:00 GMT,21.7,-95.9,-1.6738,0.36975,45,1004,
Sep 6,21:00 GMT,21.7,-95.1,-1.6598,0.36975,75,992,
Sep 7,00:00 GMT,21.7,-94.9,-1.6563,0.36975,75,992,
Sep 7,03:00 GMT,21.7,-94.8,-1.6546,0.36975,80,989,
Sep 7,06:00 GMT,21.6,-94.7,-1.6528,0.36812,80,989,
Sep 7,09:00 GMT,21.5,-94.5,-1.6493,0.3665,80,989,
Sep 7,12:00 GMT,21.6,-94.6,-1.6511,0.36812,80,983,
Sep 7,15:00 GMT,21.6,-94.6,-1.6511,0.36812,80,980,
Sep 7,18:00 GMT,21.6,-94.6,-1.6511,0.36812,80,980,
Sep 7,21:00 GMT,21.6,-94.6,-1.6511,0.36812,80,980,
Sep 8,00:00 GMT,21.6,-94.7,-1.6528,0.36812,80,980,
Sep 8,03:00 GMT,21.5,-95.1,-1.6598,0.3665,85,982,
Sep 8,06:00 GMT,21.4,-95.2,-1.6616,0.36488,85,982,
Sep 8,09:00 GMT,21.3,-95.4,-1.665,0.36325,90,977,
Sep 8,12:00 GMT,21.1,-95.6,-1.6685,0.36,90,977,
Sep 8,15:00 GMT,21,-95.8,-1.672,0.35837,100,975,
Sep 8,18:00 GMT,21.1,-96.2,-1.679,0.36,105,974,
Sep 8,21:00 GMT,21,-96.5,-1.6842,0.35837,105,972,
Sep 9,00:00 GMT,20.9,-96.8,-1.6895,0.35674,105,972,
Sep 9,03:00 GMT,20.6,-97.2,-1.6965,0.35184,75,988,
Sep 9,06:00 GMT,20.3,-97.4,-1.7,0.34694,45,998,
Sep 9,09:00 GMT,20.3,-97.5,-1.7017,0.34694,40,1001,
Sep 9,12:00 GMT,20.1,-97.7,-1.7052,0.34366,35,1004,
Sep 9,15:00 GMT,20,-97.9,-1.7087,0.34202,35,1004,
