Date,Time,Lat,Lon,x, y, Wind,Pressure
Sep 15,03:00 GMT,10.7,-25.4,-0.44331,0.18567,35,1010,
Sep 15,09:00 GMT,10.6,-27.3,-0.47647,0.18395,35,1008,
Sep 15,15:00 GMT,11.4,-28.3,-0.49393,0.19766,35,1008,
Sep 15,21:00 GMT,12.6,-29.7,-0.51836,0.21814,35,1009,
Sep 16,03:00 GMT,12.8,-30.7,-0.53582,0.22155,35,1009,
Sep 16,09:00 GMT,12.6,-32.1,-0.56025,0.21814,35,1008,
Sep 16,15:00 GMT,12.5,-33.1,-0.5777,0.21644,40,1007,
Sep 16,21:00 GMT,12.6,-34.2,-0.5969,0.21814,40,1007,
Sep 17,03:00 GMT,12.8,-34.9,-0.60912,0.22155,40,1007,
Sep 17,09:00 GMT,13,-35.4,-0.61785,0.22495,40,1007,
Sep 17,15:00 GMT,13,-36.7,-0.64054,0.22495,35,1007,
Sep 17,21:00 GMT,13.2,-37.3,-0.65101,0.22835,35,1007,
Sep 18,03:00 GMT,13.6,-38.5,-0.67195,0.23514,35,1007,
Sep 18,09:00 GMT,14.1,-39.8,-0.69464,0.24362,35,1007,
Sep 18,15:00 GMT,14.1,-40.6,-0.7086,0.24362,35,1007,
Sep 18,21:00 GMT,15,-42.3,-0.73827,0.25882,35,1007,
Sep 19,03:00 GMT,15.1,-43,-0.75049,0.2605,30,1007,
Sep 22,21:00 GMT,30.8,-48.9,-0.85347,0.51204,35,1014,
Sep 23,03:00 GMT,31.5,-49,-0.85521,0.5225,40,1009,
Sep 23,09:00 GMT,31.9,-49.2,-0.8587,0.52844,40,1009,
Sep 23,15:00 GMT,31.9,-49.4,-0.86219,0.52844,45,1007,
Sep 23,21:00 GMT,32.1,-49.8,-0.86917,0.5314,45,1007,
Sep 24,03:00 GMT,31.9,-50.1,-0.87441,0.52844,50,1003,
Sep 24,06:30 GMT,31.9,-50.1,-0.87441,0.52844,75,987,
Sep 24,09:00 GMT,31.8,-50.1,-0.87441,0.52696,85,983,
Sep 24,15:00 GMT,31.4,-49.9,-0.87092,0.52101,90,982,
Sep 24,21:00 GMT,31.3,-49.7,-0.86743,0.51952,90,980,
Sep 25,03:00 GMT,31.1,-49.5,-0.86394,0.51653,90,980,
Sep 25,09:00 GMT,31.1,-49.4,-0.86219,0.51653,90,980,
Sep 25,15:00 GMT,30.8,-49.9,-0.87092,0.51204,90,980,
Sep 25,21:00 GMT,30.5,-50.6,-0.88314,0.50754,85,983,
Sep 26,03:00 GMT,30.2,-51.5,-0.89884,0.50302,90,979,
Sep 26,09:00 GMT,30,-52.5,-0.9163,0.5,100,977,
Sep 26,15:00 GMT,29.9,-53.7,-0.93724,0.49849,105,975,
Sep 26,21:00 GMT,29.9,-54.6,-0.95295,0.49849,110,971,
Sep 27,03:00 GMT,30,-55.5,-0.96866,0.5,110,971,
Sep 27,09:00 GMT,30.2,-56.3,-0.98262,0.50302,110,971,
Sep 27,15:00 GMT,30.6,-56.8,-0.99135,0.50904,115,963,
Sep 27,21:00 GMT,31.2,-57.1,-0.99658,0.51803,115,962,
Sep 28,03:00 GMT,31.7,-57.3,-1.0001,0.52547,110,966,
Sep 28,09:00 GMT,32.5,-57.2,-0.99833,0.5373,110,966,
Sep 28,15:00 GMT,33.7,-57,-0.99484,0.55484,100,973,
Sep 28,21:00 GMT,35.1,-55.8,-0.97389,0.57501,90,977,
Sep 29,03:00 GMT,36.3,-54.6,-0.95295,0.59201,80,984,
Sep 29,09:00 GMT,38.3,-52.4,-0.91455,0.61978,75,987,
Sep 29,15:00 GMT,40.1,-49.5,-0.86394,0.64412,70,992,
Sep 29,21:00 GMT,42.2,-46,-0.80285,0.67172,65,996,
Sep 30,03:00 GMT,44.3,-42.8,-0.747,0.69842,60,998,
Sep 30,09:00 GMT,46.7,-35.6,-0.62134,0.72777,50,998,
