Date,Time,Lat,Lon,x, y, Wind,Pressure
Sep 16,15:00 GMT,12.2,-50.5,-0.88139,0.21132,35,1008,
Sep 16,18:00 GMT,11.9,-51.6,-0.90059,0.2062,35,1006,
Sep 16,21:00 GMT,12.3,-52.6,-0.91804,0.21303,50,1002,
Sep 17,00:00 GMT,12.4,-53,-0.92502,0.21474,50,1002,
Sep 17,03:00 GMT,12.5,-53.7,-0.93724,0.21644,50,1002,
Sep 17,06:00 GMT,12.7,-54.4,-0.94946,0.21985,50,1000,
Sep 17,09:00 GMT,13,-54.9,-0.95819,0.22495,65,994,
Sep 17,12:00 GMT,13.3,-55.6,-0.9704,0.23005,65,994,
Sep 17,15:00 GMT,13.5,-56.2,-0.98088,0.23345,65,994,
Sep 17,18:00 GMT,13.6,-56.9,-0.99309,0.23514,65,994,
Sep 17,21:00 GMT,13.8,-57.5,-1.0036,0.23853,75,982,
Sep 18,00:00 GMT,14,-57.9,-1.0105,0.24192,80,982,
Sep 18,03:00 GMT,14.2,-58.4,-1.0193,0.24531,85,979,
Sep 18,06:00 GMT,14.4,-59,-1.0297,0.24869,90,977,
Sep 18,09:00 GMT,14.6,-59.5,-1.0385,0.25207,90,977,
Sep 18,12:00 GMT,14.6,-59.7,-1.042,0.25207,110,967,
Sep 18,15:00 GMT,14.7,-60.1,-1.0489,0.25376,120,959,
Sep 18,18:00 GMT,14.9,-60.4,-1.0542,0.25713,125,956,
Sep 18,21:00 GMT,15.1,-60.7,-1.0594,0.2605,130,950,
Sep 18,22:00 GMT,15.2,-60.8,-1.0612,0.26219,130,950,
Sep 18,23:00 GMT,15.3,-60.9,-1.0629,0.26387,130,950,
Sep 18,23:45 GMT,15.3,-61.1,-1.0664,0.26387,160,929,
Sep 19,00:00 GMT,15.3,-61.1,-1.0664,0.26387,160,925,
Sep 19,01:00 GMT,15.3,-61.2,-1.0681,0.26387,160,924,
Sep 19,01:35 GMT,15.3,-61.3,-1.0699,0.26387,160,924,
Sep 19,03:00 GMT,15.5,-61.4,-1.0716,0.26724,160,924,
Sep 19,06:00 GMT,15.7,-61.9,-1.0804,0.2706,155,942,
Sep 19,09:00 GMT,16,-62.3,-1.0873,0.27564,155,934,
Sep 19,09:10 GMT,16,-62.3,-1.0873,0.27564,160,930,
Sep 19,12:00 GMT,16.2,-62.8,-1.0961,0.27899,160,933,
Sep 19,15:00 GMT,16.3,-63.1,-1.1013,0.28067,160,927,
Sep 19,18:00 GMT,16.6,-63.6,-1.11,0.28569,160,927,
Sep 19,18:15 GMT,16.6,-63.6,-1.11,0.28569,165,920,
Sep 19,19:00 GMT,16.7,-63.7,-1.1118,0.28736,165,920,
Sep 19,20:00 GMT,16.7,-63.8,-1.1135,0.28736,165,920,
Sep 19,21:00 GMT,16.8,-64,-1.117,0.28903,165,916,
Sep 19,22:00 GMT,16.8,-64,-1.117,0.28903,165,913,
Sep 19,23:00 GMT,16.9,-64.1,-1.1188,0.2907,175,909,
Sep 20,00:00 GMT,17,-64.2,-1.1205,0.29237,175,909,
Sep 20,01:00 GMT,17.1,-64.4,-1.124,0.29404,175,909,
Sep 20,02:00 GMT,17.2,-64.5,-1.1257,0.29571,175,909,
Sep 20,03:00 GMT,17.3,-64.7,-1.1292,0.29737,175,909,
Sep 20,04:00 GMT,17.4,-64.9,-1.1327,0.29904,175,908,
Sep 20,05:00 GMT,17.5,-65,-1.1345,0.30071,175,910,
Sep 20,06:00 GMT,17.6,-65.1,-1.1362,0.30237,165,910,
Sep 20,07:00 GMT,17.7,-65.3,-1.1397,0.30403,160,913,
Sep 20,08:00 GMT,17.8,-65.4,-1.1414,0.3057,160,917,
Sep 20,09:00 GMT,17.9,-65.6,-1.1449,0.30736,155,917,
Sep 20,10:00 GMT,18,-65.8,-1.1484,0.30902,155,917,
Sep 20,10:35 GMT,18,-65.8,-1.1484,0.30902,155,917,
Sep 20,11:00 GMT,18,-65.9,-1.1502,0.30902,155,917,
Sep 20,12:00 GMT,18.2,-66.1,-1.1537,0.31233,150,921,
Sep 20,13:00 GMT,18.3,-66.3,-1.1572,0.31399,145,927,
Sep 20,14:00 GMT,18.4,-66.4,-1.1589,0.31565,145,928,
Sep 20,15:00 GMT,18.4,-66.5,-1.1606,0.31565,140,930,
Sep 20,18:00 GMT,18.5,-66.9,-1.1676,0.3173,115,961,
Sep 20,21:00 GMT,18.8,-67.3,-1.1746,0.32227,110,957,
Sep 21,00:00 GMT,18.9,-67.5,-1.1781,0.32392,110,958,
Sep 21,03:00 GMT,19.2,-67.9,-1.1851,0.32887,110,959,
Sep 21,06:00 GMT,19.4,-68.2,-1.1903,0.33216,115,959,
Sep 21,09:00 GMT,19.6,-68.4,-1.1938,0.33545,115,959,
Sep 21,12:00 GMT,19.9,-68.7,-1.199,0.34038,115,959,
Sep 21,15:00 GMT,20.2,-69.1,-1.206,0.3453,115,960,
Sep 21,18:00 GMT,20.4,-69.4,-1.2113,0.34857,120,960,
Sep 21,21:00 GMT,20.8,-69.8,-1.2182,0.35511,120,960,
Sep 22,00:00 GMT,20.9,-70,-1.2217,0.35674,125,955,
Sep 22,03:00 GMT,21,-70.2,-1.2252,0.35837,125,955,
Sep 22,06:00 GMT,21.2,-70.5,-1.2305,0.36162,125,959,
Sep 22,09:00 GMT,21.6,-70.6,-1.2322,0.36812,125,959,
Sep 22,12:00 GMT,21.9,-70.9,-1.2374,0.37299,125,959,
Sep 22,15:00 GMT,22.3,-71,-1.2392,0.37946,125,958,
Sep 22,18:00 GMT,22.8,-71.2,-1.2427,0.38752,125,959,
Sep 22,21:00 GMT,23.3,-71.4,-1.2462,0.39555,125,959,
Sep 23,00:00 GMT,23.8,-71.6,-1.2497,0.40355,125,953,
Sep 23,03:00 GMT,24.1,-71.7,-1.2514,0.40833,125,954,
Sep 23,06:00 GMT,24.4,-71.9,-1.2549,0.4131,125,952,
Sep 23,09:00 GMT,24.8,-72,-1.2566,0.41945,120,952,
Sep 23,15:00 GMT,25.4,-72.3,-1.2619,0.42894,115,952,
Sep 23,21:00 GMT,26.3,-72.5,-1.2654,0.44307,115,950,
Sep 24,03:00 GMT,27,-72.5,-1.2654,0.45399,115,942,
Sep 24,09:00 GMT,27.9,-72.7,-1.2689,0.46793,110,948,
Sep 24,15:00 GMT,28.7,-72.9,-1.2723,0.48022,105,947,
Sep 24,21:00 GMT,29.4,-73,-1.2741,0.4909,105,941,
Sep 25,00:00 GMT,29.7,-72.9,-1.2723,0.49546,105,947,
Sep 25,03:00 GMT,30,-73,-1.2741,0.5,90,950,
Sep 25,06:00 GMT,30.2,-73,-1.2741,0.50302,85,954,
Sep 25,09:00 GMT,30.6,-73,-1.2741,0.50904,80,957,
Sep 25,12:00 GMT,30.8,-73,-1.2741,0.51204,75,961,
Sep 25,15:00 GMT,31.2,-72.9,-1.2723,0.51803,80,963,
Sep 25,18:00 GMT,31.4,-73,-1.2741,0.52101,80,966,
Sep 25,21:00 GMT,31.7,-73.1,-1.2758,0.52547,80,965,
Sep 26,00:00 GMT,32,-73,-1.2741,0.52992,80,965,
Sep 26,03:00 GMT,32.3,-73.1,-1.2758,0.53435,80,969,
Sep 26,06:00 GMT,32.6,-73.2,-1.2776,0.53877,80,970,
Sep 26,09:00 GMT,32.9,-73.1,-1.2758,0.54317,75,970,
Sep 26,12:00 GMT,33.3,-73.1,-1.2758,0.54902,75,970,
Sep 26,15:00 GMT,33.6,-73.1,-1.2758,0.55339,75,971,
